Country,Region,Happiness Rank,Happiness Score,Year
Denmark,Western Europe,1,7.526,2016
Switzerland,Western Europe,2,7.509,2016
Iceland,Western Europe,3,7.501,2016
Norway,Western Europe,4,7.498,2016
Finland,Western Europe,5,7.413,2016
Canada,North America and ANZ,6,7.404,2016
Netherlands,Western Europe,7,7.339,2016
New Zealand,Australia and New Zealand,8,7.334,2016
Australia,Australia and New Zealand,9,7.313,2016
Sweden,Western Europe,10,7.291,2016
Norway,Western Europe,1,7.537000179,2017
Denmark,Western Europe,2,7.521999836,2017
Iceland,Western Europe,3,7.504000187,2017
Switzerland,Western Europe,4,7.493999958,2017
Finland,Western Europe,5,7.468999863,2017
Netherlands,Western Europe,6,7.376999855,2017
Canada,North America and ANZ,7,7.315999985,2017
New Zealand,Australia and New Zealand,8,7.31400013,2017
Sweden,Western Europe,9,7.28399992,2017
Australia,Australia and New Zealand,10,7.28399992,2017
Finland,Western Europe,1,7.632,2018
Norway,Western Europe,2,7.594,2018
Denmark,Western Europe,3,7.555,2018
Iceland,Western Europe,4,7.495,2018
Switzerland,Western Europe,5,7.487,2018
Netherlands,Western Europe,6,7.441,2018
Canada,North America and ANZ,7,7.328,2018
New Zealand,Australia and New Zealand,8,7.324,2018
Sweden,Western Europe,9,7.314,2018
Australia,Australia and New Zealand,10,7.272,2018
Finland,Western Europe,1,7.769,2019
Denmark,Western Europe,2,7.6,2019
Norway,Western Europe,3,7.554,2019
Iceland,Western Europe,4,7.494,2019
Netherlands,Western Europe,5,7.488,2019
Switzerland,Western Europe,6,7.48,2019
Sweden,Western Europe,7,7.343,2019
New Zealand,Australia and New Zealand,8,7.307,2019
Canada,North America and ANZ,9,7.278,2019
Austria,Western Europe,10,7.246,2019
Finland,Western Europe,1,7.808700085,2020
Denmark,Western Europe,2,7.645599842,2020
Switzerland,Western Europe,3,7.559899807,2020
Iceland,Western Europe,4,7.504499912,2020
Norway,Western Europe,5,7.487999916,2020
Netherlands,Western Europe,6,7.448900223,2020
Sweden,Western Europe,7,7.353499889,2020
New Zealand,Australia and New Zealand,8,7.299600124,2020
Austria,Western Europe,9,7.294199944,2020
Luxembourg,Western Europe,10,7.237500191,2020
