Country,Year,Happiness Rank
Switzerland,2015,1
Iceland,2015,2
Denmark,2015,3
Norway,2015,4
Canada,2015,5
Finland,2015,6
Netherlands,2015,7
Sweden,2015,8
New Zealand,2015,9
Australia,2015,10
Denmark,2016,1
Switzerland,2016,2
Iceland,2016,3
Norway,2016,4
Finland,2016,5
Canada,2016,6
Netherlands,2016,7
New Zealand,2016,8
Australia,2016,9
Sweden,2016,10
Norway,2017,1
Denmark,2017,2
Iceland,2017,3
Switzerland,2017,4
Finland,2017,5
Netherlands,2017,6
Canada,2017,7
New Zealand,2017,8
Sweden,2017,9
Australia,2017,10
Finland,2018,1
Norway,2018,2
Denmark,2018,3
Iceland,2018,4
Switzerland,2018,5
Netherlands,2018,6
Canada,2018,7
New Zealand,2018,8
Sweden,2018,9
Australia,2018,10
Finland,2019,1
Denmark,2019,2
Norway,2019,3
Iceland,2019,4
Netherlands,2019,5
Switzerland,2019,6
Sweden,2019,7
New Zealand,2019,8
Canada,2019,9
Austria,2019,10
