Country name,Regional indicator,Ladder score
Finland,Western Europe,7.808700085
Denmark,Western Europe,7.645599842
Switzerland,Western Europe,7.559899807
Iceland,Western Europe,7.504499912
Norway,Western Europe,7.487999916
Netherlands,Western Europe,7.448900223
Sweden,Western Europe,7.353499889
New Zealand,Australia and New Zealand,7.299600124
Austria,Western Europe,7.294199944
Luxembourg,Western Europe,7.237500191
Canada,North America and ANZ,7.23210001
Australia,Australia and New Zealand,7.222799778
United Kingdom,Western Europe,7.164500237
Israel,Middle East and North Africa,7.128600121
Costa Rica,Latin America and Caribbean,7.121399879
Ireland,Western Europe,7.093699932
Germany,Western Europe,7.075799942
United States of America,North America and ANZ,6.939599991
Czech Republic,Central and Eastern Europe,6.910900116
Belgium,Western Europe,6.863500118
United Arab Emirates,Middle East and North Africa,6.790800095
Malta,Western Europe,6.772799969
France,Western Europe,6.663799763
Mexico,Latin America and Caribbean,6.465000153
Taiwan ,East Asia,6.45539999
